sampleid	env	subject	bodysite	dataset
Anterior.nares__103092734	Anterior nares	103092734	Anterior nares	HMP
L_Antecubital.fossa__103092734	L_Antecubital fossa	103092734	L_Antecubital fossa	HMP
R_Antecubital.fossa__103092734	R_Antecubital fossa	103092734	R_Antecubital fossa	HMP
Buccal.mucosa__132902142	Buccal mucosa	132902142	Buccal mucosa	HMP
Palatine.Tonsils__132902142	Palatine Tonsils	132902142	Palatine Tonsils	HMP
R_Antecubital.fossa__132902142	R_Antecubital fossa	132902142	R_Antecubital fossa	HMP
Retroauricular.crease__132902142	Retroauricular crease	132902142	Retroauricular crease	HMP
Stool__132902142	Stool	132902142	Stool	HMP
Subgingival.plaque__132902142	Subgingival plaque	132902142	Subgingival plaque	HMP
Supragingival.plaque__132902142	Supragingival plaque	132902142	Supragingival plaque	HMP
Throat__132902142	Throat	132902142	Throat	HMP
Tongue.dorsum__132902142	Tongue dorsum	132902142	Tongue dorsum	HMP
Anterior.nares__147406386	Anterior nares	147406386	Anterior nares	HMP
Attached.Keratinized.gingiva__147406386	Attached/Keratinized gingiva	147406386	Attached/Keratinized gingiva	HMP
Buccal.mucosa__147406386	Buccal mucosa	147406386	Buccal mucosa	HMP
Hard.palate__147406386	Hard palate	147406386	Hard palate	HMP
L_Antecubital.fossa__147406386	L_Antecubital fossa	147406386	L_Antecubital fossa	HMP
Palatine.Tonsils__147406386	Palatine Tonsils	147406386	Palatine Tonsils	HMP
R_Antecubital.fossa__147406386	R_Antecubital fossa	147406386	R_Antecubital fossa	HMP
Retroauricular.crease__147406386	Retroauricular crease	147406386	Retroauricular crease	HMP
Saliva__147406386	Saliva	147406386	Saliva	HMP
Subgingival.plaque__147406386	Subgingival plaque	147406386	Subgingival plaque	HMP
Supragingival.plaque__147406386	Supragingival plaque	147406386	Supragingival plaque	HMP
Throat__147406386	Throat	147406386	Throat	HMP
Tongue.dorsum__147406386	Tongue dorsum	147406386	Tongue dorsum	HMP
Anterior.nares__158013734	Anterior nares	158013734	Anterior nares	HMP
Attached.Keratinized.gingiva__158013734	Attached/Keratinized gingiva	158013734	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158013734	Buccal mucosa	158013734	Buccal mucosa	HMP
Hard.palate__158013734	Hard palate	158013734	Hard palate	HMP
L_Antecubital.fossa__158013734	L_Antecubital fossa	158013734	L_Antecubital fossa	HMP
Mid.vagina__158013734	Mid vagina	158013734	Mid vagina	HMP
Palatine.Tonsils__158013734	Palatine Tonsils	158013734	Palatine Tonsils	HMP
Posterior.fornix__158013734	Posterior fornix	158013734	Posterior fornix	HMP
R_Antecubital.fossa__158013734	R_Antecubital fossa	158013734	R_Antecubital fossa	HMP
Retroauricular.crease__158013734	Retroauricular crease	158013734	Retroauricular crease	HMP
Saliva__158013734	Saliva	158013734	Saliva	HMP
Stool__158013734	Stool	158013734	Stool	HMP
Subgingival.plaque__158013734	Subgingival plaque	158013734	Subgingival plaque	HMP
Supragingival.plaque__158013734	Supragingival plaque	158013734	Supragingival plaque	HMP
Throat__158013734	Throat	158013734	Throat	HMP
Tongue.dorsum__158013734	Tongue dorsum	158013734	Tongue dorsum	HMP
Vaginal.introitus__158013734	Vaginal introitus	158013734	Vaginal introitus	HMP
Anterior.nares__158114885	Anterior nares	158114885	Anterior nares	HMP
Attached.Keratinized.gingiva__158114885	Attached/Keratinized gingiva	158114885	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158114885	Buccal mucosa	158114885	Buccal mucosa	HMP
Hard.palate__158114885	Hard palate	158114885	Hard palate	HMP
L_Antecubital.fossa__158114885	L_Antecubital fossa	158114885	L_Antecubital fossa	HMP
Mid.vagina__158114885	Mid vagina	158114885	Mid vagina	HMP
Palatine.Tonsils__158114885	Palatine Tonsils	158114885	Palatine Tonsils	HMP
Posterior.fornix__158114885	Posterior fornix	158114885	Posterior fornix	HMP
R_Antecubital.fossa__158114885	R_Antecubital fossa	158114885	R_Antecubital fossa	HMP
Retroauricular.crease__158114885	Retroauricular crease	158114885	Retroauricular crease	HMP
Saliva__158114885	Saliva	158114885	Saliva	HMP
Stool__158114885	Stool	158114885	Stool	HMP
Subgingival.plaque__158114885	Subgingival plaque	158114885	Subgingival plaque	HMP
Supragingival.plaque__158114885	Supragingival plaque	158114885	Supragingival plaque	HMP
Throat__158114885	Throat	158114885	Throat	HMP
Tongue.dorsum__158114885	Tongue dorsum	158114885	Tongue dorsum	HMP
Vaginal.introitus__158114885	Vaginal introitus	158114885	Vaginal introitus	HMP
Anterior.nares__158155345	Anterior nares	158155345	Anterior nares	HMP
Attached.Keratinized.gingiva__158155345	Attached/Keratinized gingiva	158155345	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158155345	Buccal mucosa	158155345	Buccal mucosa	HMP
Hard.palate__158155345	Hard palate	158155345	Hard palate	HMP
L_Antecubital.fossa__158155345	L_Antecubital fossa	158155345	L_Antecubital fossa	HMP
Palatine.Tonsils__158155345	Palatine Tonsils	158155345	Palatine Tonsils	HMP
R_Antecubital.fossa__158155345	R_Antecubital fossa	158155345	R_Antecubital fossa	HMP
Retroauricular.crease__158155345	Retroauricular crease	158155345	Retroauricular crease	HMP
Saliva__158155345	Saliva	158155345	Saliva	HMP
Stool__158155345	Stool	158155345	Stool	HMP
Subgingival.plaque__158155345	Subgingival plaque	158155345	Subgingival plaque	HMP
Supragingival.plaque__158155345	Supragingival plaque	158155345	Supragingival plaque	HMP
Throat__158155345	Throat	158155345	Throat	HMP
Tongue.dorsum__158155345	Tongue dorsum	158155345	Tongue dorsum	HMP
Anterior.nares__158216035	Anterior nares	158216035	Anterior nares	HMP
Attached.Keratinized.gingiva__158216035	Attached/Keratinized gingiva	158216035	Attached/Keratinized gingiva	HMP
Buccal.mucosa__158216035	Buccal mucosa	158216035	Buccal mucosa	HMP
Hard.palate__158216035	Hard palate	158216035	Hard palate	HMP
L_Antecubital.fossa__158216035	L_Antecubital fossa	158216035	L_Antecubital fossa	HMP
Palatine.Tonsils__158216035	Palatine Tonsils	158216035	Palatine Tonsils	HMP
R_Antecubital.fossa__158216035	R_Antecubital fossa	158216035	R_Antecubital fossa	HMP
Retroauricular.crease__158216035	Retroauricular crease	158216035	Retroauricular crease	HMP
Saliva__158216035	Saliva	158216035	Saliva	HMP
