"sample"	"env"	"dataset"
"Supragingival.plaque..159490532"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159571453"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159713063"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159915365"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..160319967"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..160400887"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..160582958"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..160603188"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..160765029"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159591683"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159207311"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..160178356"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..160643649"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..158337416"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..158802708"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..158883629"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159005010"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..158256496"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159247771"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..160704339"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..160380657"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159227541"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..246515023"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159510762"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..160421117"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..158479027"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159632143"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..160502038"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159369152"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..158742018"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..160158126"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159814214"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159551223"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159268001"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..158499257"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..159611913"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..158944319"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..638754422"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..809635352"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..370425937"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..604812005"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..158458797"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..763961826"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..763577454"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..763496533"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..765135172"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..763759525"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764062976"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..765034022"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..765074482"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764588959"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..763840445"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..763901136"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764224817"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764447348"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..763435843"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..338793263"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764143897"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764508039"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764487809"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..765701615"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..765620695"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764285508"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764083206"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764042746"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764649650"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764325968"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..765094712"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..765337473"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..765013792"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..764892411"	"Supragingival.plaque"	"HMP"
"Supragingival.plaque..404239096"	"Supragingival.plaque"	"HMP"
