sample	env	subject	bodysite	dataset
Buccal.mucosa__132902142	Buccal mucosa	132902142	Buccal mucosa	HMP
Subgingival.plaque__132902142	Subgingival plaque	132902142	Subgingival plaque	HMP
Supragingival.plaque__132902142	Supragingival plaque	132902142	Supragingival plaque	HMP
Tongue.dorsum__132902142	Tongue dorsum	132902142	Tongue dorsum	HMP
Buccal.mucosa__147406386	Buccal mucosa	147406386	Buccal mucosa	HMP
Hard.palate__147406386	Hard palate	147406386	Hard palate	HMP
Saliva__147406386	Saliva	147406386	Saliva	HMP
Subgingival.plaque__147406386	Subgingival plaque	147406386	Subgingival plaque	HMP
Supragingival.plaque__147406386	Supragingival plaque	147406386	Supragingival plaque	HMP
Tongue.dorsum__147406386	Tongue dorsum	147406386	Tongue dorsum	HMP
Buccal.mucosa__158013734	Buccal mucosa	158013734	Buccal mucosa	HMP
Hard.palate__158013734	Hard palate	158013734	Hard palate	HMP
Saliva__158013734	Saliva	158013734	Saliva	HMP
Stool__158013734	Stool	158013734	Stool	HMP
Subgingival.plaque__158013734	Subgingival plaque	158013734	Subgingival plaque	HMP
Supragingival.plaque__158013734	Supragingival plaque	158013734	Supragingival plaque	HMP
Tongue.dorsum__158013734	Tongue dorsum	158013734	Tongue dorsum	HMP
Buccal.mucosa__158114885	Buccal mucosa	158114885	Buccal mucosa	HMP
Hard.palate__158114885	Hard palate	158114885	Hard palate	HMP
Saliva__158114885	Saliva	158114885	Saliva	HMP
Stool__158114885	Stool	158114885	Stool	HMP
Subgingival.plaque__158114885	Subgingival plaque	158114885	Subgingival plaque	HMP
Supragingival.plaque__158114885	Supragingival plaque	158114885	Supragingival plaque	HMP
Tongue.dorsum__158114885	Tongue dorsum	158114885	Tongue dorsum	HMP
Buccal.mucosa__158155345	Buccal mucosa	158155345	Buccal mucosa	HMP
Hard.palate__158155345	Hard palate	158155345	Hard palate	HMP
Saliva__158155345	Saliva	158155345	Saliva	HMP
Stool__158155345	Stool	158155345	Stool	HMP
Subgingival.plaque__158155345	Subgingival plaque	158155345	Subgingival plaque	HMP
Supragingival.plaque__158155345	Supragingival plaque	158155345	Supragingival plaque	HMP
Tongue.dorsum__158155345	Tongue dorsum	158155345	Tongue dorsum	HMP
Buccal.mucosa__158216035	Buccal mucosa	158216035	Buccal mucosa	HMP
Hard.palate__158216035	Hard palate	158216035	Hard palate	HMP
Saliva__158216035	Saliva	158216035	Saliva	HMP
Stool__158216035	Stool	158216035	Stool	HMP
Subgingival.plaque__158216035	Subgingival plaque	158216035	Subgingival plaque	HMP
Supragingival.plaque__158216035	Supragingival plaque	158216035	Supragingival plaque	HMP
Tongue.dorsum__158216035	Tongue dorsum	158216035	Tongue dorsum	HMP
Buccal.mucosa__158236265	Buccal mucosa	158236265	Buccal mucosa	HMP
Hard.palate__158236265	Hard palate	158236265	Hard palate	HMP
Saliva__158236265	Saliva	158236265	Saliva	HMP
Stool__158236265	Stool	158236265	Stool	HMP
Subgingival.plaque__158236265	Subgingival plaque	158236265	Subgingival plaque	HMP
Supragingival.plaque__158236265	Supragingival plaque	158236265	Supragingival plaque	HMP
Tongue.dorsum__158236265	Tongue dorsum	158236265	Tongue dorsum	HMP
Buccal.mucosa__158256496	Buccal mucosa	158256496	Buccal mucosa	HMP
Hard.palate__158256496	Hard palate	158256496	Hard palate	HMP
Saliva__158256496	Saliva	158256496	Saliva	HMP
Stool__158256496	Stool	158256496	Stool	HMP
Subgingival.plaque__158256496	Subgingival plaque	158256496	Subgingival plaque	HMP
Supragingival.plaque__158256496	Supragingival plaque	158256496	Supragingival plaque	HMP
Tongue.dorsum__158256496	Tongue dorsum	158256496	Tongue dorsum	HMP
Buccal.mucosa__158276726	Buccal mucosa	158276726	Buccal mucosa	HMP
Hard.palate__158276726	Hard palate	158276726	Hard palate	HMP
Saliva__158276726	Saliva	158276726	Saliva	HMP
Stool__158276726	Stool	158276726	Stool	HMP
Subgingival.plaque__158276726	Subgingival plaque	158276726	Subgingival plaque	HMP
Supragingival.plaque__158276726	Supragingival plaque	158276726	Supragingival plaque	HMP
Tongue.dorsum__158276726	Tongue dorsum	158276726	Tongue dorsum	HMP
Buccal.mucosa__158337416	Buccal mucosa	158337416	Buccal mucosa	HMP
Hard.palate__158337416	Hard palate	158337416	Hard palate	HMP
Saliva__158337416	Saliva	158337416	Saliva	HMP
Stool__158337416	Stool	158337416	Stool	HMP
Subgingival.plaque__158337416	Subgingival plaque	158337416	Subgingival plaque	HMP
Supragingival.plaque__158337416	Supragingival plaque	158337416	Supragingival plaque	HMP
Tongue.dorsum__158337416	Tongue dorsum	158337416	Tongue dorsum	HMP
Buccal.mucosa__158357646	Buccal mucosa	158357646	Buccal mucosa	HMP
Hard.palate__158357646	Hard palate	158357646	Hard palate	HMP
Saliva__158357646	Saliva	158357646	Saliva	HMP
Stool__158357646	Stool	158357646	Stool	HMP
Subgingival.plaque__158357646	Subgingival plaque	158357646	Subgingival plaque	HMP
Supragingival.plaque__158357646	Supragingival plaque	158357646	Supragingival plaque	HMP
Tongue.dorsum__158357646	Tongue dorsum	158357646	Tongue dorsum	HMP
Buccal.mucosa__158398106	Buccal mucosa	158398106	Buccal mucosa	HMP
Hard.palate__158398106	Hard palate	158398106	Hard palate	HMP
Saliva__158398106	Saliva	158398106	Saliva	HMP
Stool__158398106	Stool	158398106	Stool	HMP
Subgingival.plaque__158398106	Subgingival plaque	158398106	Subgingival plaque	HMP
Supragingival.plaque__158398106	Supragingival plaque	158398106	Supragingival plaque	HMP
Tongue.dorsum__158398106	Tongue dorsum	158398106	Tongue dorsum	HMP
Buccal.mucosa__158418336	Buccal mucosa	158418336	Buccal mucosa	HMP
Hard.palate__158418336	Hard palate	158418336	Hard palate	HMP
Saliva__158418336	Saliva	158418336	Saliva	HMP
Stool__158418336	Stool	158418336	Stool	HMP
Subgingival.plaque__158418336	Subgingival plaque	158418336	Subgingival plaque	HMP
Supragingival.plaque__158418336	Supragingival plaque	158418336	Supragingival plaque	HMP
Tongue.dorsum__158418336	Tongue dorsum	158418336	Tongue dorsum	HMP
Buccal.mucosa__158438567	Buccal mucosa	158438567	Buccal mucosa	HMP
Hard.palate__158438567	Hard palate	158438567	Hard palate	HMP
Saliva__158438567	Saliva	158438567	Saliva	HMP
Stool__158438567	Stool	158438567	Stool	HMP
Subgingival.plaque__158438567	Subgingival plaque	158438567	Subgingival plaque	HMP
Supragingival.plaque__158438567	Supragingival plaque	158438567	Supragingival plaque	HMP
Tongue.dorsum__158438567	Tongue dorsum	158438567	Tongue dorsum	HMP
Buccal.mucosa__158458797	Buccal mucosa	158458797	Buccal mucosa	HMP
Hard.palate__158458797	Hard palate	158458797	Hard palate	HMP
Saliva__158458797	Saliva	158458797	Saliva	HMP
Stool__158458797	Stool	158458797	Stool	HMP
Subgingival.plaque__158458797	Subgingival plaque	158458797	Subgingival plaque	HMP
Supragingival.plaque__158458797	Supragingival plaque	158458797	Supragingival plaque	HMP
Tongue.dorsum__158458797	Tongue dorsum	158458797	Tongue dorsum	HMP
Buccal.mucosa__158479027	Buccal mucosa	158479027	Buccal mucosa	HMP
Hard.palate__158479027	Hard palate	158479027	Hard palate	HMP
Saliva__158479027	Saliva	158479027	Saliva	HMP
Stool__158479027	Stool	158479027	Stool	HMP
Subgingival.plaque__158479027	Subgingival plaque	158479027	Subgingival plaque	HMP
Supragingival.plaque__158479027	Supragingival plaque	158479027	Supragingival plaque	HMP
Tongue.dorsum__158479027	Tongue dorsum	158479027	Tongue dorsum	HMP
Buccal.mucosa__158499257	Buccal mucosa	158499257	Buccal mucosa	HMP
Hard.palate__158499257	Hard palate	158499257	Hard palate	HMP
Saliva__158499257	Saliva	158499257	Saliva	HMP
Stool__158499257	Stool	158499257	Stool	HMP
Subgingival.plaque__158499257	Subgingival plaque	158499257	Subgingival plaque	HMP
Supragingival.plaque__158499257	Supragingival plaque	158499257	Supragingival plaque	HMP
Tongue.dorsum__158499257	Tongue dorsum	158499257	Tongue dorsum	HMP
Buccal.mucosa__158721788	Buccal mucosa	158721788	Buccal mucosa	HMP
Hard.palate__158721788	Hard palate	158721788	Hard palate	HMP
Saliva__158721788	Saliva	158721788	Saliva	HMP
Stool__158721788	Stool	158721788	Stool	HMP
Subgingival.plaque__158721788	Subgingival plaque	158721788	Subgingival plaque	HMP
Supragingival.plaque__158721788	Supragingival plaque	158721788	Supragingival plaque	HMP
Tongue.dorsum__158721788	Tongue dorsum	158721788	Tongue dorsum	HMP
Buccal.mucosa__158742018	Buccal mucosa	158742018	Buccal mucosa	HMP
Hard.palate__158742018	Hard palate	158742018	Hard palate	HMP
Saliva__158742018	Saliva	158742018	Saliva	HMP
Stool__158742018	Stool	158742018	Stool	HMP
Subgingival.plaque__158742018	Subgingival plaque	158742018	Subgingival plaque	HMP
Supragingival.plaque__158742018	Supragingival plaque	158742018	Supragingival plaque	HMP
Tongue.dorsum__158742018	Tongue dorsum	158742018	Tongue dorsum	HMP
Buccal.mucosa__158802708	Buccal mucosa	158802708	Buccal mucosa	HMP
Hard.palate__158802708	Hard palate	158802708	Hard palate	HMP
Saliva__158802708	Saliva	158802708	Saliva	HMP
Stool__158802708	Stool	158802708	Stool	HMP
Subgingival.plaque__158802708	Subgingival plaque	158802708	Subgingival plaque	HMP
Supragingival.plaque__158802708	Supragingival plaque	158802708	Supragingival plaque	HMP
Tongue.dorsum__158802708	Tongue dorsum	158802708	Tongue dorsum	HMP
Buccal.mucosa__158822939	Buccal mucosa	158822939	Buccal mucosa	HMP
Hard.palate__158822939	Hard palate	158822939	Hard palate	HMP
Saliva__158822939	Saliva	158822939	Saliva	HMP
Stool__158822939	Stool	158822939	Stool	HMP
Subgingival.plaque__158822939	Subgingival plaque	158822939	Subgingival plaque	HMP
Supragingival.plaque__158822939	Supragingival plaque	158822939	Supragingival plaque	HMP
Tongue.dorsum__158822939	Tongue dorsum	158822939	Tongue dorsum	HMP
Buccal.mucosa__158883629	Buccal mucosa	158883629	Buccal mucosa	HMP
Hard.palate__158883629	Hard palate	158883629	Hard palate	HMP
Saliva__158883629	Saliva	158883629	Saliva	HMP
Stool__158883629	Stool	158883629	Stool	HMP
Subgingival.plaque__158883629	Subgingival plaque	158883629	Subgingival plaque	HMP
Supragingival.plaque__158883629	Supragingival plaque	158883629	Supragingival plaque	HMP
Tongue.dorsum__158883629	Tongue dorsum	158883629	Tongue dorsum	HMP
Buccal.mucosa__158924089	Buccal mucosa	158924089	Buccal mucosa	HMP
Hard.palate__158924089	Hard palate	158924089	Hard palate	HMP
Saliva__158924089	Saliva	158924089	Saliva	HMP
Stool__158924089	Stool	158924089	Stool	HMP
Subgingival.plaque__158924089	Subgingival plaque	158924089	Subgingival plaque	HMP
Supragingival.plaque__158924089	Supragingival plaque	158924089	Supragingival plaque	HMP
Tongue.dorsum__158924089	Tongue dorsum	158924089	Tongue dorsum	HMP
Buccal.mucosa__158944319	Buccal mucosa	158944319	Buccal mucosa	HMP
Hard.palate__158944319	Hard palate	158944319	Hard palate	HMP
Saliva__158944319	Saliva	158944319	Saliva	HMP
Stool__158944319	Stool	158944319	Stool	HMP
Subgingival.plaque__158944319	Subgingival plaque	158944319	Subgingival plaque	HMP
Supragingival.plaque__158944319	Supragingival plaque	158944319	Supragingival plaque	HMP
Tongue.dorsum__158944319	Tongue dorsum	158944319	Tongue dorsum	HMP
Buccal.mucosa__158964549	Buccal mucosa	158964549	Buccal mucosa	HMP
Hard.palate__158964549	Hard palate	158964549	Hard palate	HMP
Saliva__158964549	Saliva	158964549	Saliva	HMP
Stool__158964549	Stool	158964549	Stool	HMP
Subgingival.plaque__158964549	Subgingival plaque	158964549	Subgingival plaque	HMP
Supragingival.plaque__158964549	Supragingival plaque	158964549	Supragingival plaque	HMP
Tongue.dorsum__158964549	Tongue dorsum	158964549	Tongue dorsum	HMP
Buccal.mucosa__158984779	Buccal mucosa	158984779	Buccal mucosa	HMP
Hard.palate__158984779	Hard palate	158984779	Hard palate	HMP
Saliva__158984779	Saliva	158984779	Saliva	HMP
Subgingival.plaque__158984779	Subgingival plaque	158984779	Subgingival plaque	HMP
Supragingival.plaque__158984779	Supragingival plaque	158984779	Supragingival plaque	HMP
Tongue.dorsum__158984779	Tongue dorsum	158984779	Tongue dorsum	HMP
Buccal.mucosa__159005010	Buccal mucosa	159005010	Buccal mucosa	HMP
Hard.palate__159005010	Hard palate	159005010	Hard palate	HMP
Saliva__159005010	Saliva	159005010	Saliva	HMP
Stool__159005010	Stool	159005010	Stool	HMP
Subgingival.plaque__159005010	Subgingival plaque	159005010	Subgingival plaque	HMP
Supragingival.plaque__159005010	Supragingival plaque	159005010	Supragingival plaque	HMP
Tongue.dorsum__159005010	Tongue dorsum	159005010	Tongue dorsum	HMP
Buccal.mucosa__159085930	Buccal mucosa	159085930	Buccal mucosa	HMP
Hard.palate__159085930	Hard palate	159085930	Hard palate	HMP
Saliva__159085930	Saliva	159085930	Saliva	HMP
Stool__159085930	Stool	159085930	Stool	HMP
Subgingival.plaque__159085930	Subgingival plaque	159085930	Subgingival plaque	HMP
Supragingival.plaque__159085930	Supragingival plaque	159085930	Supragingival plaque	HMP
Tongue.dorsum__159085930	Tongue dorsum	159085930	Tongue dorsum	HMP
Buccal.mucosa__159146620	Buccal mucosa	159146620	Buccal mucosa	HMP
Hard.palate__159146620	Hard palate	159146620	Hard palate	HMP
Saliva__159146620	Saliva	159146620	Saliva	HMP
Stool__159146620	Stool	159146620	Stool	HMP
