Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,environment_(biome),environment_(feature),environment_(material),Experiment,External_Id,geographic_location_(countryand/orsea;region),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,sample_acc,Sample Name,Sample_Name,Sequencing_method,SRA Study,Submitter_Id
ERR526291,WGS,200,3036308400,PRJEB6337,SAMEA2581875,1992377787,"ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA",2011,public,"sra,fastq","ena,gs,s3","s3.us-east-1,ena,gs.US",2014-06-13,2014-06-13,2018-11-16,2016-10-21,Human gut stool,Human gut stool,Human gut stool,ERX491494,SAMEA2581875,China,30,120,human-gut,"ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA","ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA",2014-06-13T17:04:20Z,2016-10-21T09:36:17Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,size fractionation,METAGENOMIC,metagenome,ILLUMINA,MGWAS_LC,2014-06-14T00:00:00Z,ERS475105,SAMEA2581875,HD-1_Run4,Illumina hiseq 2000,ERP005860,HD-1_Run4
ERR527006,WGS,200,1698031400,PRJEB6337,SAMEA2581978,1228310225,"ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA",2011,public,"sra,fastq","ena,gs,s3","gs.US,s3.us-east-1,ena",2014-06-13,2014-06-13,2018-11-16,2016-10-21,Human gut stool,Human gut stool,Human gut stool,ERX492209,SAMEA2581978,China,30,120,human-gut,"ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA","ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA",2014-06-13T17:04:20Z,2016-10-21T09:36:14Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,size fractionation,METAGENOMIC,metagenome,ILLUMINA,MGWAS_LC,2014-06-14T00:00:00Z,ERS475208,SAMEA2581978,HV1_Run4,Illumina hiseq 2000,ERP005860,HV1_Run4
ERR527007,WGS,200,1871043000,PRJEB6337,SAMEA2581979,1347021777,"ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA",2011,public,"fastq,sra","gs,ena,s3","ena,s3.us-east-1,gs.US",2014-06-13,2014-06-13,2018-11-16,2016-10-21,Human gut stool,Human gut stool,Human gut stool,ERX492210,SAMEA2581979,China,30,120,human-gut,"ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA","ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA",2014-06-13T17:04:20Z,2016-10-21T09:36:14Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,size fractionation,METAGENOMIC,metagenome,ILLUMINA,MGWAS_LC,2014-06-14T00:00:00Z,ERS475209,SAMEA2581979,HV10_Run4,Illumina hiseq 2000,ERP005860,HV10_Run4
ERR527008,WGS,200,532580000,PRJEB6337,SAMEA2581980,403969007,"ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA",2011,public,"fastq,sra","gs,ena,s3","ena,s3.us-east-1,gs.US",2014-06-13,2014-06-13,2018-11-16,2016-10-21,Human gut stool,Human gut stool,Human gut stool,ERX492211,SAMEA2581980,China,30,120,human-gut,"ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA","ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA",2014-06-13T17:04:20Z,2016-10-21T09:36:13Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,size fractionation,METAGENOMIC,metagenome,ILLUMINA,MGWAS_LC,2014-06-14T00:00:00Z,ERS475210,SAMEA2581980,HV11_Run1,Illumina hiseq 2000,ERP005860,HV11_Run1
ERR527009,WGS,200,1483769200,PRJEB6337,SAMEA2581981,1059958872,"ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA",2011,public,"fastq,sra","gs,ena,s3","ena,gs.US,s3.us-east-1",2014-06-13,2014-06-13,2018-11-16,2016-10-21,Human gut stool,Human gut stool,Human gut stool,ERX492212,SAMEA2581981,China,30,120,human-gut,"ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA","ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA",2014-06-13T17:04:20Z,2016-10-21T09:36:14Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,size fractionation,METAGENOMIC,metagenome,ILLUMINA,MGWAS_LC,2014-06-14T00:00:00Z,ERS475211,SAMEA2581981,HV11_Run4,Illumina hiseq 2000,ERP005860,HV11_Run4
ERR527010,WGS,200,2788386000,PRJEB6337,SAMEA2581982,2028167992,"ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA",2011,public,"sra,fastq","ena,gs,s3","s3.us-east-1,ena,gs.US",2014-06-13,2014-06-13,2018-11-16,2016-10-21,Human gut stool,Human gut stool,Human gut stool,ERX492213,SAMEA2581982,China,30,120,human-gut,"ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA","ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA",2014-06-13T17:04:20Z,2016-10-21T09:36:14Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,size fractionation,METAGENOMIC,metagenome,ILLUMINA,MGWAS_LC,2014-06-14T00:00:00Z,ERS475212,SAMEA2581982,HV12_Run3,Illumina hiseq 2000,ERP005860,HV12_Run3
ERR527011,WGS,200,170041000,PRJEB6337,SAMEA2581983,119885005,"ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA",2011,public,"fastq,sra","ena,s3,gs","s3.us-east-1,ena,gs.US",2014-06-13,2014-06-13,2018-11-16,2016-10-21,Human gut stool,Human gut stool,Human gut stool,ERX492214,SAMEA2581983,China,30,120,human-gut,"ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA","ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA",2014-06-13T17:04:20Z,2016-10-21T09:36:13Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,size fractionation,METAGENOMIC,metagenome,ILLUMINA,MGWAS_LC,2014-06-14T00:00:00Z,ERS475213,SAMEA2581983,HV13_Run3,Illumina hiseq 2000,ERP005860,HV13_Run3
ERR527012,WGS,200,2048574200,PRJEB6337,SAMEA2581984,1469481934,"ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA",2011,public,"fastq,sra","gs,s3,ena","gs.US,ena,s3.us-east-1",2014-06-13,2014-06-13,2018-11-16,2016-10-21,Human gut stool,Human gut stool,Human gut stool,ERX492215,SAMEA2581984,China,30,120,human-gut,"ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA","ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA",2014-06-13T17:04:20Z,2016-10-21T09:36:16Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,size fractionation,METAGENOMIC,metagenome,ILLUMINA,MGWAS_LC,2014-06-14T00:00:00Z,ERS475214,SAMEA2581984,HV13_Run4,Illumina hiseq 2000,ERP005860,HV13_Run4
ERR527013,WGS,200,209632800,PRJEB6337,SAMEA2581985,147461798,"ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA",2011,public,"fastq,sra","s3,ena,gs","gs.US,ena,s3.us-east-1",2014-06-13,2014-06-13,2018-11-16,2016-10-21,Human gut stool,Human gut stool,Human gut stool,ERX492216,SAMEA2581985,China,30,120,human-gut,"ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA","ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA",2014-06-13T17:04:20Z,2016-10-21T09:36:14Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,size fractionation,METAGENOMIC,metagenome,ILLUMINA,MGWAS_LC,2014-06-14T00:00:00Z,ERS475215,SAMEA2581985,HV14_Run3,Illumina hiseq 2000,ERP005860,HV14_Run3
ERR527014,WGS,200,1774724000,PRJEB6337,SAMEA2581986,1264303276,"ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA",2011,public,"fastq,sra","gs,ena,s3","s3.us-east-1,ena,gs.US",2014-06-13,2014-06-13,2018-11-16,2016-10-21,Human gut stool,Human gut stool,Human gut stool,ERX492217,SAMEA2581986,China,30,120,human-gut,"ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA","ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA",2014-06-13T17:04:20Z,2016-10-21T09:36:16Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,size fractionation,METAGENOMIC,metagenome,ILLUMINA,MGWAS_LC,2014-06-14T00:00:00Z,ERS475216,SAMEA2581986,HV14_Run4,Illumina hiseq 2000,ERP005860,HV14_Run4
