run	sample_id	sample	replicate
ERR526291	ERS475105	HD-1	Run4
ERR527006	ERS475208	HV1	Run4
ERR527007	ERS475209	HV10	Run4
ERR527008	ERS475210	HV11	Run1
ERR527009	ERS475211	HV11	Run4
ERR527010	ERS475212	HV12	Run3
ERR527011	ERS475213	HV13	Run3
ERR527012	ERS475214	HV13	Run4
ERR527013	ERS475215	HV14	Run3
ERR527014	ERS475216	HV14	Run4
ERR527015	ERS475217	HV15	Run3
ERR527016	ERS475218	HV15	Run5
ERR527017	ERS475219	HV16	Run3
ERR527018	ERS475220	HV17	Run3
ERR527019	ERS475221	HV18	Run3
ERR527020	ERS475222	HV18	Run4
ERR527021	ERS475223	HV19	Run3
ERR527022	ERS475224	HV19	Run4
ERR527023	ERS475225	HV2	Run4
ERR527024	ERS475226	HV20	Run5
ERR527025	ERS475227	HV20	Run6
ERR527026	ERS475228	HV21	Run4
ERR527027	ERS475229	HV22	Run5
ERR527028	ERS475230	HV23	Run4
ERR527029	ERS475231	HV24	Run4
ERR527030	ERS475232	HV25	Run6
ERR527031	ERS475233	HV26	Run6
ERR527032	ERS475234	HV27	Run6
ERR527033	ERS475235	HV28	Run6
ERR527034	ERS475236	HV29	Run6
ERR527035	ERS475237	HV3	Run4
ERR527036	ERS475238	HV30	Run6
ERR527037	ERS475239	HV31	Run6
ERR527038	ERS475240	HV4	Run1
ERR527039	ERS475241	HV4	Run4
ERR527040	ERS475242	HV5	Run4
ERR527041	ERS475243	HV6	Run4
ERR527042	ERS475244	HV7	Run4
ERR527043	ERS475245	HV8	Run2
ERR527044	ERS475246	HV8	Run4
ERR527045	ERS475247	HV9	Run1
ERR527046	ERS475106	HD-10	Run1
ERR527047	ERS475107	HD-11	Run1
ERR527048	ERS475108	HD-12	Run1
ERR527049	ERS475109	HD-13	Run1
ERR527050	ERS475110	HD-13	Run5
ERR527051	ERS475111	HD-14	Run1
ERR527052	ERS475112	HD-15	Run1
ERR527053	ERS475113	HD-15	Run5
ERR527054	ERS475114	HD-16	Run1
ERR527055	ERS475115	HD-16	Run5
ERR527056	ERS475116	HD-17	Run1
ERR527057	ERS475117	HD-17	Run5
ERR527058	ERS475118	HD-18	Run1
ERR527059	ERS475119	HD-18	Run4
ERR527060	ERS475120	HD-19	Run1
ERR527061	ERS475121	HD-19	Run4
ERR527062	ERS475122	HD-2	Run4
ERR527063	ERS475123	HD-20	Run1
ERR527064	ERS475124	HD-21	Run1
ERR527065	ERS475125	HD-22	Run1
ERR527066	ERS475126	HD-23	Run5
ERR527067	ERS475127	HD-24	Run6
ERR527068	ERS475128	HD-25	Run1
ERR527069	ERS475129	HD-25	Run5
ERR527070	ERS475130	HD-26	Run1
ERR527071	ERS475131	HD-27	Run1
ERR527072	ERS475132	HD-28	Run1
ERR527073	ERS475133	HD-29	Run1
ERR527074	ERS475134	HD-3	Run4
ERR527075	ERS475135	HD-3	Run6
ERR527076	ERS475136	HD-30	Run1
ERR527077	ERS475137	HD-31	Run1
ERR527078	ERS475138	HD-32	Run1
ERR527079	ERS475139	HD-33	Run1
ERR527080	ERS475140	HD-34	Run1
ERR527081	ERS475141	HD-35	Run1
ERR527082	ERS475142	HD-36	Run5
ERR527083	ERS475143	HD-37	Run3
ERR527084	ERS475144	HD-37	Run5
ERR527085	ERS475145	HD-38	Run5
ERR527086	ERS475146	HD-39	Run3
ERR527087	ERS475147	HD-39	Run4
ERR527088	ERS475148	HD-4	Run1
ERR527089	ERS475149	HD-40	Run3
ERR527090	ERS475150	HD-41	Run3
ERR527091	ERS475151	HD-42	Run3
ERR527092	ERS475152	HD-43	Run3
ERR527093	ERS475153	HD-43	Run5
ERR527094	ERS475154	HD-44	Run3
ERR527095	ERS475155	HD-44	Run5
ERR527096	ERS475156	HD-45	Run3
ERR527097	ERS475157	HD-45	Run5
ERR527098	ERS475158	HD-46	Run3
ERR527099	ERS475159	HD-47	Run3
ERR527100	ERS475160	HD-47	Run4
ERR527101	ERS475161	HD-48	Run3
ERR527102	ERS475162	HD-49	Run3
ERR527103	ERS475163	HD-49	Run5
ERR527104	ERS475164	HD-5	Run1
ERR527105	ERS475165	HD-50	Run5
ERR527106	ERS475166	HD-51	Run3
ERR527107	ERS475167	HD-52	Run3
ERR527108	ERS475168	HD-53	Run3
ERR527109	ERS475169	HD-54	Run4
ERR527110	ERS475170	HD-54	Run6
ERR527111	ERS475171	HD-55	Run4
ERR527112	ERS475172	HD-55	Run6
ERR527113	ERS475173	HD-56	Run4
ERR527114	ERS475174	HD-57	Run4
ERR527115	ERS475175	HD-57	Run6
ERR527116	ERS475176	HD-58	Run5
ERR527117	ERS475177	HD-59	Run4
ERR527118	ERS475178	HD-59	Run6
ERR527119	ERS475179	HD-6	Run1
ERR527120	ERS475180	HD-6	Run2
ERR527121	ERS475181	HD-60	Run5
ERR527122	ERS475182	HD-61	Run5
ERR527123	ERS475183	HD-62	Run5
ERR527124	ERS475184	HD-63	Run5
ERR527125	ERS475185	HD-64	Run5
ERR527126	ERS475186	HD-65	Run6
ERR527127	ERS475187	HD-66	Run6
ERR527128	ERS475188	HD-67	Run6
ERR527129	ERS475189	HD-68	Run6
ERR527130	ERS475190	HD-69	Run6
ERR527131	ERS475192	HD-70	Run6
ERR527132	ERS475193	HD-71	Run6
ERR527133	ERS475194	HD-72	Run6
ERR527134	ERS475195	HD-73	Run6
ERR527135	ERS475196	HD-74	Run6
ERR527136	ERS475197	HD-75	Run6
ERR527137	ERS475198	HD-76	Run6
ERR527138	ERS475199	HD-77	Run6
ERR527139	ERS475200	HD-78	Run6
ERR527140	ERS475248	LD-1	Run1
ERR527141	ERS475249	LD-10	Run1
ERR527142	ERS475250	LD-10	Run5
ERR527143	ERS475251	LD-11	Run4
ERR527144	ERS475252	LD-12	Run2
ERR527145	ERS475253	LD-13	Run2
ERR527146	ERS475254	LD-13	Run5
ERR527147	ERS475255	LD-14	Run2
ERR527148	ERS475256	LD-15	Run2
ERR527149	ERS475257	LD-16	Run2
ERR527150	ERS475258	LD-17	Run2
ERR527151	ERS475259	LD-18	Run3
ERR527152	ERS475260	LD-18	Run5
ERR527153	ERS475261	LD-19	Run2
ERR527154	ERS475262	LD-2	Run1
ERR527155	ERS475263	LD-2	Run5
ERR527156	ERS475264	LD-20	Run2
ERR527157	ERS475265	LD-21	Run2
ERR527158	ERS475266	LD-21	Run5
ERR527159	ERS475267	LD-22	Run5
ERR527160	ERS475268	LD-23	Run4
ERR527161	ERS475269	LD-24	Run3
ERR527162	ERS475270	LD-24	Run5
ERR527163	ERS475271	LD-25	Run3
ERR527164	ERS475272	LD-25	Run5
ERR527165	ERS475273	LD-26	Run2
ERR527166	ERS475274	LD-27	Run2
ERR527167	ERS475275	LD-27	Run3
ERR527168	ERS475276	LD-27	Run4
ERR527169	ERS475277	LD-28	Run3
ERR527170	ERS475278	LD-28	Run5
ERR527171	ERS475279	LD-29	Run2
ERR527172	ERS475280	LD-3	Run5
ERR527173	ERS475281	LD-30	Run2
ERR527174	ERS475282	LD-30	Run3
ERR527175	ERS475283	LD-30	Run5
ERR527176	ERS475284	LD-31	Run2
ERR527177	ERS475285	LD-31	Run3
