"","phylum","cutoff","termset","term","gene","description","effectsize"
"1","actinobacteria","med","level1","Carbohydrates","FIG00135459","2-ketogluconate utilization repressor PtxS",0.395903116514777
"2","actinobacteria","med","level1","Carbohydrates","FIG00003507","6-phospho-beta-galactosidase (EC 3.2.1.85)",0.169641019215394
"3","actinobacteria","med","level1","Carbohydrates","FIG00037240","Alpha-N-arabinofuranosidase 2 (EC 3.2.1.55)",0.0532289594065784
"4","actinobacteria","med","level1","Carbohydrates","FIG00002890","Arabinose operon regulatory protein",0.207426957718631
"5","actinobacteria","med","level1","Carbohydrates","FIG01356109","Arabinose-proton symporter",1.56661631575082
"6","actinobacteria","med","level1","Carbohydrates","FIG00146581","Beta-galactosidase 3",0.220247023588085
"7","actinobacteria","med","level1","Carbohydrates","FIG00001011","Beta-glucoside bgl operon antiterminator, BglG family",0.0625939943446255
"8","actinobacteria","med","level1","Carbohydrates","FIG00003605","CoA-acylating propionaldehyde dehydrogenase",0.151236908204516
"9","actinobacteria","med","level1","Carbohydrates","FIG01328912","dehydrogenase clustered with L-fuconate utilization genes",0.158754731741138
"10","actinobacteria","med","level1","Carbohydrates","FIG00106273","D-xylose proton-symporter XylE",0.516912677236848
"11","actinobacteria","med","level1","Carbohydrates","FIG00145126","D-xylose proton-symporter XylT",0.152338327682474
"12","actinobacteria","med","level1","Carbohydrates","FIG00002321","Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)",0.273977672777117
"13","actinobacteria","med","level1","Carbohydrates","FIG00002376","Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)",0.273977672777117
"14","actinobacteria","med","level1","Carbohydrates","FIG00135232","Galactose permease",0.753313131978141
"15","actinobacteria","med","level1","Carbohydrates","FIG00134202","Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)",0.804142139054501
"16","actinobacteria","med","level1","Carbohydrates","FIG00004789","Glucitol operon activator protein",0.232742601055008
"17","actinobacteria","med","level1","Carbohydrates","FIG00001813","Gluconate utilization system Gnt-I transcriptional repressor",1.27760283421972
"18","actinobacteria","med","level1","Carbohydrates","FIG01320952","Glycerate kinase (EC 2.7.1.31)",0.0731127332580481
"19","actinobacteria","med","level1","Carbohydrates","FIG00139215","Hypothetical glycoside hydrolase, family 43, similar to arabinosidase",0.157720341808063
"20","actinobacteria","med","level1","Carbohydrates","FIG00003484","Lactaldehyde reductase (EC 1.1.1.77)",0.102932596983129
"21","actinobacteria","med","level1","Carbohydrates","FIG00090765","Lactose and galactose permease, GPH translocator family",0.11078279758295
"22","actinobacteria","med","level1","Carbohydrates","FIG00002891","Lactose phosphotransferase system repressor",0.446403504061411
