"","phylum","gene","description"
"1","firmicutes","FIG00750381","FIG00753961: hypothetical protein"
"2","firmicutes","FIG00517956","FIG00517957: hypothetical protein"
"3","firmicutes","FIG00660211",NA
"4","firmicutes","FIG00026006","Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)"
"5","firmicutes","FIG00846824","FIG00846827: hypothetical protein"
"6","firmicutes","FIG00522038","FIG00525509: hypothetical protein"
"7","firmicutes","FIG01032463","FIG01032465: hypothetical protein"
"8","firmicutes","FIG01032461","FIG01032463: hypothetical protein"
"9","firmicutes","FIG01032469","FIG01032470: hypothetical protein"
"10","firmicutes","FIG01502703","Delta-lactam-biosynthetic de-N-acetylase"
"11","firmicutes","FIG00637949","FIG00637950: hypothetical protein"
"12","firmicutes","FIG01031864","FIG01031865: hypothetical protein"
"13","firmicutes","FIG01031865","FIG01031866: hypothetical protein"
"14","firmicutes","FIG01031868","FIG01031870: hypothetical protein"
"15","firmicutes","FIG01032110","FIG01032111: hypothetical protein"
"16","firmicutes","FIG01032117","FIG00528381: hypothetical protein"
"17","firmicutes","FIG00668282","Oxygen-insensitive NAD(P)H nitroreductase"
"18","firmicutes","FIG00066879","Hypothetical iron-sulfur cluster binding protein YccM"
"19","firmicutes","FIG00527358","FIG00617215: hypothetical protein"
"20","firmicutes","FIG00035255","O antigen biosynthesis rhamnosyltransferase rfbN (EC 2.4.1.-)"
"21","firmicutes","FIG00671350","periplasmic component of efflux system"
"22","firmicutes","FIG01032660","putative arginase"
"23","firmicutes","FIG01032668","conserved hypothetical protein, conserved"
"24","firmicutes","FIG00628448","FIG00628449: hypothetical protein"
"25","firmicutes","FIG00936696","Polysaccharide biosynthesis protein"
"26","firmicutes","FIG00645324","FIG00645325: hypothetical protein"
"27","firmicutes","FIG00645327","SOS-response transcriptional repressor, LexA( EC:3.4.21.88 )"
"28","firmicutes","FIG00450955","Sensor histidine kinase"
"29","firmicutes","FIG00518319","cassette chromosome recombinase B"
"30","firmicutes","FIG00648490","Protein of unknown function DUF296"
"31","firmicutes","FIG00590749","FIG00590750: hypothetical protein"
"32","firmicutes","FIG00645044","FIG00645045: hypothetical protein"
"33","firmicutes","FIG00645047","FIG00645050: hypothetical protein"
"34","firmicutes","FIG01427726","FIG00751823: hypothetical protein"
"35","firmicutes","FIG01165411","NAD(FAD)-utilizing dehydrogenase"
"36","firmicutes","FIG00557621",NA
"37","firmicutes","FIG00537094","TRAP-type C4-dicarboxylate transport system, small permease component"
"38","firmicutes","FIG01692594","F420H2:quinone oxidoreductase"
"39","firmicutes","FIG00521319","FIG00521321: hypothetical protein"
"40","firmicutes","FIG01327649","Putative cellsurface protein"
"41","firmicutes","FIG00615023","Polysaccharide ABC transporter substrate-binding protein"
"42","firmicutes","FIG00742770","FIG00742771: hypothetical protein"
"43","firmicutes","FIG00005479","Transcriptional repressor for NAD biosynthesis in gram-positives"
"44","firmicutes","FIG00646883","FIG00646885: hypothetical protein"
"45","firmicutes","FIG00645288","FIG00645289: hypothetical protein"
"46","firmicutes","FIG00003596","RNA polymerase sporulation specific sigma factor SigF"
"47","firmicutes","FIG00645283","FIG00645286: hypothetical protein"
"48","firmicutes","FIG00674251","Invasion associated protein p60"
"49","firmicutes","FIG01330148","ISSth1, transposase (orf1), IS3 family"
"50","firmicutes","FIG01442112","Tn916, hypothetical protein"
"51","firmicutes","FIG00015381","Transmembrane component CbrV of energizing module of predicted cobalamin ECF transporter"
"52","firmicutes","FIG01458937","hypothetical protein"
"53","firmicutes","FIG00533112","FIG00533114: hypothetical protein"
"54","firmicutes","FIG00531384","FIG00531386: hypothetical protein"
"55","firmicutes","FIG01369295","Metal dependent hydrolase (EC 3.-.-.-)"
"56","firmicutes","FIG01829246","sodium/chloride-dependent transporter"
