"","phylum","cutoff","termset","term","gene","description","effectsize"
"1","actinobacteria","strong","level1","Carbohydrates","FIG01356109","Arabinose-proton symporter",1.56661631575082
"2","actinobacteria","strong","level1","Carbohydrates","FIG00001813","Gluconate utilization system Gnt-I transcriptional repressor",1.27760283421972
"3","actinobacteria","strong","level1","Carbohydrates","FIG00134202","Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)",0.804142139054501
"4","actinobacteria","strong","level1","Carbohydrates","FIG01955841","related to 6-phospho-3-hexuloisomerase",0.790576794950816
"5","actinobacteria","strong","level1","Carbohydrates","FIG01322883","rhamnogalacturonan acetylesterase",0.7689844471416
"6","actinobacteria","strong","level1","Carbohydrates","FIG00135232","Galactose permease",0.753313131978141
"7","actinobacteria","strong","level1","Carbohydrates","FIG01257822","PTS system, diacetylchitobiose-specific IIB component (EC 2.7.1.69)",0.676512490694482
"8","actinobacteria","strong","level1","Carbohydrates","FIG00106273","D-xylose proton-symporter XylE",0.516912677236848
"9","actinobacteria","strong","level1","Carbohydrates","FIG00002891","Lactose phosphotransferase system repressor",0.446403504061411
"10","actinobacteria","strong","level1","Carbohydrates","FIG00135459","2-ketogluconate utilization repressor PtxS",0.395903116514777
"11","actinobacteria","strong","level1","Carbohydrates","FIG00002321","Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)",0.273977672777117
"12","actinobacteria","strong","level1","Carbohydrates","FIG00002376","Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)",0.273977672777117
"13","actinobacteria","strong","level1","Carbohydrates","FIG00534821","Tagatose-1-phosphate kinase TagK",0.251877076558809
"14","actinobacteria","strong","level1","Carbohydrates","FIG00004789","Glucitol operon activator protein",0.232742601055008
"15","actinobacteria","strong","level1","Carbohydrates","FIG00139819","Predicted L-arabinose ABC transport system, periplasmic arabinose-binding protein",0.232277953549747
"16","actinobacteria","strong","level1","Carbohydrates","FIG00005378","Transcriptional repressor of the lac operon",0.22727997452958
"17","actinobacteria","strong","level1","Carbohydrates","FIG00520304","Xylitol dehydrogenase (EC 1.1.1.9)",0.226918244103078
"18","actinobacteria","strong","level1","Carbohydrates","FIG00146581","Beta-galactosidase 3",0.220247023588085
"19","actinobacteria","strong","level1","Carbohydrates","FIG00003655","PTS system, lactose-specific IIA component (EC 2.7.1.69)",0.216932923713642
"20","actinobacteria","strong","level1","Carbohydrates","FIG00002890","Arabinose operon regulatory protein",0.207426957718631
"21","actinobacteria","strong","level1","Carbohydrates","FIG01259203","Trehalose operon transcriptional repressor",0.201607641820806
"22","actinobacteria","strong","level1","Carbohydrates","FIG00013923","Xylanase",0.177244314728535
"23","actinobacteria","strong","level1","Carbohydrates","FIG00062548","Predicted beta-glucoside-regulated ABC transport system, permease component 1, COG1175",0.174433012482925
"24","actinobacteria","strong","level1","Carbohydrates","FIG00004715","PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)",0.167875296348218
"25","actinobacteria","strong","level1","Carbohydrates","FIG01328912","dehydrogenase clustered with L-fuconate utilization genes",0.158754731741138
"26","actinobacteria","strong","level1","Carbohydrates","FIG00139215","Hypothetical glycoside hydrolase, family 43, similar to arabinosidase",0.157720341808063
"27","actinobacteria","strong","level1","Carbohydrates","FIG00066026","Predicted beta-glucoside-regulated ABC transport system, sugar binding component, COG1653",0.157305632219457
"28","actinobacteria","strong","level1","Carbohydrates","FIG00229360","Tagatose-6-phosphate kinase (EC 2.7.1.144)",0.153560897112947
"29","actinobacteria","strong","level1","Carbohydrates","FIG00145126","D-xylose proton-symporter XylT",0.152338327682474
"30","actinobacteria","strong","level1","Carbohydrates","FIG00003605","CoA-acylating propionaldehyde dehydrogenase",0.151236908204516
"31","actinobacteria","strong","level1","Carbohydrates","FIG00002159","PTS system, N-acetylgalactosamine-specific IIB component (EC 2.7.1.69)",0.148555305310639
"32","actinobacteria","strong","level1","Carbohydrates","FIG01305829","N-Acetyl-D-glucosamine permease 2, possible",0.146078004097902
"33","actinobacteria","strong","level1","Carbohydrates","FIG00001331","PTS system, galactitol-specific IIA component (EC 2.7.1.69)",0.137618306735266
"34","actinobacteria","strong","level1","Carbohydrates","FIG01591039","Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon",0.135424185744616
"35","actinobacteria","strong","level1","Carbohydrates","FIG00001457","PTS system, galactitol-specific IIB component (EC 2.7.1.69)",0.121420378581147
"36","actinobacteria","strong","level1","Carbohydrates","FIG00181043","Pullulanase (EC 3.2.1.41)",0.117714325508938
"37","actinobacteria","strong","level1","Carbohydrates","FIG00090765","Lactose and galactose permease, GPH translocator family",0.11078279758295
"38","actinobacteria","strong","level1","Carbohydrates","FIG00003484","Lactaldehyde reductase (EC 1.1.1.77)",0.102932596983129
"39","actinobacteria","strong","level1","Carbohydrates","FIG01320952","Glycerate kinase (EC 2.7.1.31)",0.0731127332580481
"40","actinobacteria","strong","level1","Carbohydrates","FIG00020533","Sucrose permease, major facilitator superfamily",0.0714014228453733
"41","actinobacteria","strong","level1","Carbohydrates","FIG00001011","Beta-glucoside bgl operon antiterminator, BglG family",0.0625939943446255
"42","actinobacteria","strong","level1","Virulence, Disease and Defense","FIG00033787","Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family",0.46571667282724
"43","actinobacteria","strong","level1","Virulence, Disease and Defense","FIG00340352","Heavy metal-(Cd/Co/Hg/Pb/Zn)-translocating P-type ATPase:Heavy metal translocating P-type ATPase",0.32691156661348
"44","actinobacteria","strong","level1","Virulence, Disease and Defense","FIG00026595","ABC transporter membrane-spanning permease, Pep export, Vex3",0.322119458984568
"45","actinobacteria","strong","level1","Virulence, Disease and Defense","FIG01291525","Fibronectin-binding protein",0.253881984694771
"46","actinobacteria","strong","level1","Virulence, Disease and Defense","FIG00589406","Amino-acid ABC transporter ATP-binding protein PebC",0.217982001329706
"47","actinobacteria","strong","level1","Virulence, Disease and Defense","FIG01409860","Cobalt-zinc-cadmium resistance protein",0.168143014708426
"48","actinobacteria","strong","level1","Virulence, Disease and Defense","FIG00001179","Macrolide-specific efflux protein MacA",0.145069917795365
"49","actinobacteria","strong","level1","Virulence, Disease and Defense","FIG00028865","ABC transporter, ATP-binding protein Vex2",0.134898617390609
