"","phylum","cutoff","termset","term","gene","description","effectsize"
"1","acidobacteria","med","level1","Motility and Chemotaxis","FIG00102933","Chemotaxis protein CheX",2.03506131848284
"2","acidobacteria","med","level1","Motility and Chemotaxis","FIG00000850","Flagellar assembly protein FliH",2.03506131848284
"3","acidobacteria","med","level1","Motility and Chemotaxis","FIG00133479","Flagellar basal-body rod protein FlgB",2.03506131848284
"4","acidobacteria","med","level1","Motility and Chemotaxis","FIG00108124","Flagellar biosynthesis protein FliQ",2.03506131848284
"5","acidobacteria","med","level1","Motility and Chemotaxis","FIG00000784","Flagellar biosynthesis protein FliS",2.03506131848284
"6","acidobacteria","med","level1","Motility and Chemotaxis","FIG00078127","Flagellar hook-basal body complex protein FliE",2.03506131848284
"7","acidobacteria","med","level1","Motility and Chemotaxis","FIG00125327","Flagellar protein FlbD",2.03506131848284
"8","acidobacteria","med","level1","Motility and Chemotaxis","FIG00001193","Flagellar protein FlgJ [peptidoglycan hydrolase] (EC 3.2.1.-)",2.74957354251132
"9","acidobacteria","med","level1","Motility and Chemotaxis","FIG00008285","Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)",2.74957354251132
"10","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00102933","Chemotaxis protein CheX",2.03506131848284
"11","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00000850","Flagellar assembly protein FliH",2.03506131848284
"12","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00133479","Flagellar basal-body rod protein FlgB",2.03506131848284
"13","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00108124","Flagellar biosynthesis protein FliQ",2.03506131848284
"14","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00000784","Flagellar biosynthesis protein FliS",2.03506131848284
"15","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00078127","Flagellar hook-basal body complex protein FliE",2.03506131848284
"16","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00125327","Flagellar protein FlbD",2.03506131848284
"17","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00001193","Flagellar protein FlgJ [peptidoglycan hydrolase] (EC 3.2.1.-)",2.74957354251132
"18","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00004628","Predicted signal transduction protein",1.31778688393554
"19","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00008285","Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)",2.74957354251132
"20","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00001408","Rrf2 family transcriptional regulator",1.41040732314916
"21","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00000850","Flagellar assembly protein FliH",2.03506131848284
"22","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00133479","Flagellar basal-body rod protein FlgB",2.03506131848284
"23","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00108124","Flagellar biosynthesis protein FliQ",2.03506131848284
"24","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00000784","Flagellar biosynthesis protein FliS",2.03506131848284
"25","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00078127","Flagellar hook-basal body complex protein FliE",2.03506131848284
"26","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00125327","Flagellar protein FlbD",2.03506131848284
"27","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00001193","Flagellar protein FlgJ [peptidoglycan hydrolase] (EC 3.2.1.-)",2.74957354251132
"28","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00004628","Predicted signal transduction protein",1.31778688393554
"29","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00001408","Rrf2 family transcriptional regulator",1.41040732314916
"30","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00007031","2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.5.1.-)",0.519359549862918
"31","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00007446","3,7-dideoxy-D-threo-hepto-2, 6-diulosonate synthase (EC 4.2.3.-)",0.511959640286597
"32","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00002360","4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)",0.409181141510792
"33","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00001109","4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)",0.353026001582122
"34","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00049258","5'-methylthioadenosine phosphorylase (EC 2.4.2.28)",0.411062128770857
"35","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00097608","5-methylthioribose kinase (EC 2.7.1.100)",0.642311528194843
"36","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00005022","ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)",0.55294702301909
"37","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00052802","Agmatinase (EC 3.5.3.11)",0.382588929306737
"38","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00229246","Allophanate hydrolase (EC 3.5.1.54)",0.330000849606918
"39","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00003792","Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)",0.344394361184879
"40","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00000964","Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)",0.314485255912654
"41","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00055130","Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)",0.323592662117914
"42","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00009149","Butyryl-CoA dehydrogenase (EC 1.3.99.2)",0.376327023680539
"43","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00138424","Conserved hypothetical protein (perhaps related to histidine degradation)",0.565856720622359
"44","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00062522","Cyanophycinase (EC 3.4.15.6)",0.567525045671815
"45","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00003542","Cyanophycin synthase (EC 6.3.2.29)(EC 6.3.2.30)",0.586682480685726
"46","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00022427","Cystathionine beta-synthase (EC 4.2.1.22)",0.450304776987407
"47","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00470735","Cysteine synthase B (EC 2.5.1.47)",0.537775296334701
"48","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00043720","Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)",0.561285576224862
"49","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00016334","Formiminoglutamic iminohydrolase (EC 3.5.3.13)",0.620423536836216
"50","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00143561","Glutamine synthetase family protein in hypothetical Actinobacterial gene cluster",0.616327705646414
"51","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00078081","Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)",0.71669849593663
"52","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00000963","Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)",0.50185521214906
"53","actinobacteria","med","level1","Amino Acids and Derivatives","FIG00009017","Isochorismatase (EC 3.3.2.1)",0.345755785871761
