"","phylum","cutoff","termset","term","gene","description","effectsize"
"1","acidobacteria","med","level1","Motility and Chemotaxis","FIG00001193","Flagellar protein FlgJ [peptidoglycan hydrolase] (EC 3.2.1.-)",2.74957354251132
"2","acidobacteria","med","level1","Motility and Chemotaxis","FIG00008285","Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)",2.74957354251132
"3","acidobacteria","med","level1","Motility and Chemotaxis","FIG00102933","Chemotaxis protein CheX",2.03506131848284
"4","acidobacteria","med","level1","Motility and Chemotaxis","FIG00000850","Flagellar assembly protein FliH",2.03506131848284
"5","acidobacteria","med","level1","Motility and Chemotaxis","FIG00133479","Flagellar basal-body rod protein FlgB",2.03506131848284
"6","acidobacteria","med","level1","Motility and Chemotaxis","FIG00108124","Flagellar biosynthesis protein FliQ",2.03506131848284
"7","acidobacteria","med","level1","Motility and Chemotaxis","FIG00000784","Flagellar biosynthesis protein FliS",2.03506131848284
"8","acidobacteria","med","level1","Motility and Chemotaxis","FIG00078127","Flagellar hook-basal body complex protein FliE",2.03506131848284
"9","acidobacteria","med","level1","Motility and Chemotaxis","FIG00125327","Flagellar protein FlbD",2.03506131848284
"10","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00001193","Flagellar protein FlgJ [peptidoglycan hydrolase] (EC 3.2.1.-)",2.74957354251132
"11","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00008285","Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)",2.74957354251132
"12","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00102933","Chemotaxis protein CheX",2.03506131848284
"13","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00000850","Flagellar assembly protein FliH",2.03506131848284
"14","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00133479","Flagellar basal-body rod protein FlgB",2.03506131848284
"15","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00108124","Flagellar biosynthesis protein FliQ",2.03506131848284
"16","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00000784","Flagellar biosynthesis protein FliS",2.03506131848284
"17","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00078127","Flagellar hook-basal body complex protein FliE",2.03506131848284
"18","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00125327","Flagellar protein FlbD",2.03506131848284
"19","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00001408","Rrf2 family transcriptional regulator",1.41040732314916
"20","acidobacteria","weak","level1","Motility and Chemotaxis","FIG00004628","Predicted signal transduction protein",1.31778688393554
"21","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00001193","Flagellar protein FlgJ [peptidoglycan hydrolase] (EC 3.2.1.-)",2.74957354251132
"22","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00000850","Flagellar assembly protein FliH",2.03506131848284
"23","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00133479","Flagellar basal-body rod protein FlgB",2.03506131848284
"24","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00108124","Flagellar biosynthesis protein FliQ",2.03506131848284
"25","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00000784","Flagellar biosynthesis protein FliS",2.03506131848284
"26","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00078127","Flagellar hook-basal body complex protein FliE",2.03506131848284
"27","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00125327","Flagellar protein FlbD",2.03506131848284
"28","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00001408","Rrf2 family transcriptional regulator",1.41040732314916
"29","acidobacteria","weak","level2","Flagellar motility in Prokaryota","FIG00004628","Predicted signal transduction protein",1.31778688393554
"30","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00134230","L-allo-threonine aldolase",0.934844009604722
"31","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00078081","Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)",0.71669849593663
"32","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00002176","Methylthioribulose-1-phosphate dehydratase (EC 4.2.1.109)",0.686855862504094
"33","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00097608","5-methylthioribose kinase (EC 2.7.1.100)",0.642311528194843
"34","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00016334","Formiminoglutamic iminohydrolase (EC 3.5.3.13)",0.620423536836216
"35","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00040232","L-beta-lysine 5,6-aminomutase alpha subunit (EC 5.4.3.3)",0.619467631115378
"36","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00047336","L-beta-lysine 5,6-aminomutase beta subunit (EC 5.4.3.3)",0.619467631115378
"37","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00143561","Glutamine synthetase family protein in hypothetical Actinobacterial gene cluster",0.616327705646414
"38","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00002570","Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase)",0.603698014757125
"39","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00003542","Cyanophycin synthase (EC 6.3.2.29)(EC 6.3.2.30)",0.586682480685726
"40","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00138403","Methylglutaconyl-CoA hydratase (EC 4.2.1.18)",0.584983774690576
"41","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG01304252","Putrescine transport system permease protein PotI (TC 3.A.1.11.2)",0.581027010364
"42","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00138424","Conserved hypothetical protein (perhaps related to histidine degradation)",0.565856720622359
"43","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00043720","Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)",0.561285576224862
"44","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00024044","Putrescine transport system permease protein PotH (TC 3.A.1.11.2)",0.556848869430538
"45","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00005022","ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)",0.55294702301909
"46","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00470735","Cysteine synthase B (EC 2.5.1.47)",0.537775296334701
"47","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00007031","2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.5.1.-)",0.519359549862918
"48","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00004037","Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)",0.505370710135303
"49","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00138249","Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)",0.503277123806229
"50","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00000963","Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)",0.50185521214906
"51","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00032740","Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)",0.489470907936505
"52","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00771520","Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)",0.482606833319903
"53","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00022146","Urea carboxylase-related aminomethyltransferase (EC 2.1.2.10)",0.455877083373042
"54","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00003894","Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)",0.454154965675829
"55","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00022427","Cystathionine beta-synthase (EC 4.2.1.22)",0.450304776987407
"56","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00003209","NAD-specific glutamate dehydrogenase (EC 1.4.1.2), large form",0.449572397660177
"57","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00020626","Leucine dehydrogenase (EC 1.4.1.9)",0.447037347534389
"58","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00001622","Tryptophan 2,3-dioxygenase (EC 1.13.11.11)",0.445903387462038
"59","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00134830","Lysine 2,3-aminomutase (EC 5.4.3.2)",0.43535438222264
"60","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00021407","(R)-citramalate synthase (EC 2.3.1.182)",0.426727570253126
"61","actinobacteria","strong","level1","Amino Acids and Derivatives","FIG00049258","5'-methylthioadenosine phosphorylase (EC 2.4.2.28)",0.411062128770857
