"","phylum","gene","description"
"1","firmicutes","FIG00009068","RNA polymerase sigma factor for flagellar operon"
"2","firmicutes","FIG00523588","FIG00523589: hypothetical protein"
"3","firmicutes","FIG01073978","putative ABC transporter sugar-binding protein"
"4","firmicutes","FIG00025887","Organic hydroperoxide resistance transcriptional regulator"
"5","firmicutes","FIG00000385","Cell division protein FtsA"
"6","firmicutes","FIG00135497","Betaine reductase component B beta subunit (EC 1.21.4.4) @ selenocysteine-containing"
"7","firmicutes","FIG00522725","FIG00522726: hypothetical protein"
"8","firmicutes","FIG00519956","FIG00519960: hypothetical protein"
"9","firmicutes","FIG00531933","FIG00531935: hypothetical protein"
"10","firmicutes","FIG00532621","FIG00532622: hypothetical protein"
"11","firmicutes","FIG00680972",NA
"12","firmicutes","FIG00615028","FIG00615029: hypothetical protein"
"13","firmicutes","FIG01251342","methyl-accepting chemotaxis protein"
"14","firmicutes","FIG00000646","Flagellar basal-body rod modification protein FlgD"
"15","firmicutes","FIG00002646","Transcriptional activator of acetoin dehydrogenase operon AcoR"
"16","firmicutes","FIG01290464","Flagellar motor switch protein FliM"
"17","firmicutes","FIG01361622","GTP cyclohydrolase III (methanopterin)"
"18","firmicutes","FIG00516064","FIG00516068: hypothetical protein"
"19","firmicutes","FIG00895124","FIG00895125: hypothetical protein"
"20","firmicutes","FIG00015036","Stage V sporulation protein whose disruption leads to the production of immature spores (SpoVK)"
"21","firmicutes","FIG00521844","FIG00521846: hypothetical protein"
"22","firmicutes","FIG00524428","FIG00524429: hypothetical protein"
"23","firmicutes","FIG00670135","similar to Uncharacterized conserved protein"
"24","firmicutes","FIG00513560","FIG00513568: hypothetical protein"
"25","firmicutes","FIG01331568","Possible beta-xylosidase diverged, family 5/39 of glycosyl hydrolases and alpha-amylase C (Greek key) C-terminal domain"
"26","firmicutes","FIG00003411","Sirohydrochlorin cobaltochelatase (EC 4.99.1.3)"
"27","firmicutes","FIG00500040","4-vinyl reductase, 4VR"
"28","firmicutes","FIG00515771","FIG00515773: hypothetical protein"
"29","firmicutes","FIG01769554","membrane-associated sensory histidine kinase-like ATPase"
"30","firmicutes","FIG01230999","FIG01231000: hypothetical protein"
"31","firmicutes","FIG00895412","DUF327 domain-containing protein"
"32","firmicutes","FIG01319937","alternate gene name: ipa-20r"
"33","firmicutes","FIG01470505","spore germination protein KC"
"34","firmicutes","FIG00672687","polysaccharide ABC transporter permease"
"35","firmicutes","FIG01441659",NA
"36","firmicutes","FIG00533318","Protein containing a domain related to multimeric flavodoxin WrbA family"
"37","firmicutes","FIG01309750","HD-GYP domain"
"38","firmicutes","FIG01568006","DNA-entry nuclease (EC 3.-.-.-)"
"39","firmicutes","FIG00517762","FIG00517764: hypothetical protein"
"40","firmicutes","FIG00513936","FIG00513938: hypothetical protein"
"41","firmicutes","FIG00494959","amine oxidase"
"42","firmicutes","FIG00975484","FIG028593: membrane protein"
"43","firmicutes","FIG00002022","Nucleotide excision repair protein, with UvrB/UvrC motif"
"44","firmicutes","FIG00961989","TRAG protein"
"45","firmicutes","FIG01790995","peptidase A24A, prepilin type IV"
"46","firmicutes","FIG00472150","Competence protein"
"47","firmicutes","FIG01400541","transposase, IS605 OrfB"
"48","firmicutes","FIG00520583",NA
"49","firmicutes","FIG00743946","Transcriptional regulator, DeoR family"
"50","firmicutes","FIG00000767","Flagellar basal-body rod protein FlgF"
"51","firmicutes","FIG00634805","membrane-bound metal-dependent hydrolase"
"52","firmicutes","FIG01395247","Regulatory sensor-transducer, BlaR1/MecR1 family"
"53","firmicutes","FIG01234029","Ribonuclease (EC 3.1.27.-) (RNase Bci)"
"54","firmicutes","FIG00518227","FIG00518228: hypothetical protein"
"55","firmicutes","FIG00512990","FIG00512991: hypothetical protein"
"56","firmicutes","FIG00006995","Nicotinamidase family protein YcaC"
"57","firmicutes","FIG00524517","IMP dehydrogenase/GMP reductase:Bacterial extracellular solute-binding protein, family 1"
"58","firmicutes","FIG00531090","FIG00531098: hypothetical protein"
"59","firmicutes","FIG00986061","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61) / FAD-dependent cmnm(5)s(2)U34 oxidoreductase"
"60","firmicutes","FIG01304734","MreB-like protein (Mbl protein)"
"61","firmicutes","FIG01375922","IS, phage, Tn; Transposon-related functions"
"62","firmicutes","FIG00517068","FIG00517070: hypothetical protein"
"63","firmicutes","FIG00895435","polysaccharide ABC transporter substrate-binding protein"
"64","firmicutes","FIG01356939","FIG00895281: hypothetical protein"
"65","firmicutes","FIG00029709","Flagellar biosynthesis protein FlhA"
"66","firmicutes","FIG01562050","FIG00513902: hypothetical protein"
"67","firmicutes","FIG01755586","Response regulator (CheY-like receiver domain and HTH-type DNA-binding)"
"68","firmicutes","FIG00519261","FIG00519264: hypothetical protein"
"69","firmicutes","FIG01615564","FIG01249277: hypothetical protein"
"70","firmicutes","FIG00524755","FIG00524756: hypothetical protein"
"71","firmicutes","FIG00537822","Heavy-metal-associated domain (N-terminus) and membrane-bounded cytochrome biogenesis cycZ-like domain, possible membrane copper tolerance protein"
"72","firmicutes","FIG01226119","FIG01226121: hypothetical protein"
"73","firmicutes","FIG00524287","FIG00524289: hypothetical protein"
"74","firmicutes","FIG00742017","Oxidoreductase, N-terminal"
"75","firmicutes","FIG00945718","alcohol dehydrogenase"
"76","firmicutes","FIG00613137","Pectate lyase L precursor (EC 4.2.2.2)"
"77","firmicutes","FIG00516897","FIG00516904: hypothetical protein"
"78","firmicutes","FIG00514492","FIG00514494: hypothetical protein"
"79","firmicutes","FIG01305973",NA
"80","firmicutes","FIG00000784","Flagellar biosynthesis protein FliS"
"81","firmicutes","FIG00523868","FIG00523869: hypothetical protein"
"82","firmicutes","FIG01785732","glycosyltransferase, MGT family"
"83","firmicutes","FIG01321766","ATP-dependent DNA helicase rep (EC 3.6.1.-)"
"84","firmicutes","FIG00526714","FIG00526720: hypothetical protein"
"85","firmicutes","FIG01242629","FIG01242631: hypothetical protein"
"86","firmicutes","FIG01362913","DUF124 domain-containing protein"
"87","firmicutes","FIG00005919","Urea ABC transporter, permease protein UrtC"
"88","firmicutes","FIG00519966","Endoglucanase F precursor"
"89","firmicutes","FIG00646956","Sporulation protein YtfJ"
"90","firmicutes","FIG00522888","FIG00522889: hypothetical protein"
"91","firmicutes","FIG01549696","Acetyltransferase, GNAT family family"
"92","firmicutes","FIG00052904","Serine protein kinase (prkA protein), P-loop containing"
"93","firmicutes","FIG00148338","PTS system, diacetylchitobiose-specific IIC component (EC 2.7.1.69)"
"94","firmicutes","FIG01227198","FIG01227199: hypothetical protein"
"95","firmicutes","FIG00524590","Glutamine ABC transporter, periplasmic glutamine-binding protein (TC 3.A.1.3.2) / Glutamine transport system permease protein GlnP (TC 3.A.1.3.2)"
"96","firmicutes","FIG00138353","Flagellar biosynthesis protein FliP"
"97","firmicutes","FIG00000610","Flagellar motor switch protein FliG"
"98","firmicutes","FIG00000614","Ornithine cyclodeaminase (EC 4.3.1.12)"
"99","firmicutes","FIG00007067","Putative ATP:guanido phosphotransferase YacI (EC 2.7.3.-)"
